Location,Name,Category,Description,Latitude,Longitude,Altitude,Date verified,Water,Composting sawdust,Recycling center,Artisan goods,Open,Electricity,Kitchen,Parking,Restaurant,Wifi,Big rig friendly,Tent friendly,Pet friendly,Showers,Toilets,Sanitation dump station,Outdoor gear,Groceries,Bakery,Rarity in this area,Repairs vehicles,Repairs motorcycles,Repairs bicycles,Sells parts,Recycles batteries,Recycles oil,Bio fuel,Electric vehicle charging
"Conjunto Cataluña, Carrera 11B, La Primavera, Comuna 2, Popayán, Centro, Cauca, 190001, Colombia",Bomba primax ,Informal Campsite,"Translation:Good place to sleep, without danger, very safe, there is a bathroom, they do not charge, excellent option.

Buen lugar para dormir, sin peligro muy seguro, hay baño, no cobran, excelente opción.",2.485866,-76.561764,1858.5253048436716,2021-12-30 00:00:00 UTC,No,,,,Yes,No,No,,No,Unknown,Unknown,No,No,No,Pit Toilets,,,,,,,,,,,,,
"Vía Cienaga - Barranquilla, Sitionuevo, Magdalena, Colombia",Ciénaga,Wild Camping,"i'm travelling on bike,and I put my tent hère one nigth... quite ,alone, m'y and stars..and sea.....",11.009190,-74.603752,6.7,2025-01-09 00:00:00 UTC,No,,,,Yes,No,No,,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,
"Calle 4, Atalaya, La Mesa, Tequendama, Cundinamarca, 262511, Colombia",Terpel Fuel Station,Informal Campsite,"Brand new fuel station, full range supermarket, bicycle shop, 24 hours cafe, super clean new washrooms, large parking area.
I paid the armed guard 20k cop and stayed four nights! Totally safe, easy walking to town square, Mirador, shops.",4.634912,-74.449434,1386.1748046875,2023-08-18 00:00:00 UTC,Unknown,,,,Yes,No,No,,Yes,Yes - Average,Yes,No,Unknown,No,Running Water,,,,,,,,,,,,,
"Restaurante Los Lagos, 50, La Manuela, El Remanso, Manizales, Centrosur, Caldas, 170008, Colombia",Restaurante los lagos,Restaurant,"It is a roadside restaurant, absolutely delicious, and cheap. You will find the typical food, I recommend to try the mondongo, sancocho, chorizo and empanadas.
And you will find a big parking area, grosieris and hotel",5.059240,-75.608470,1.009,2022-01-02 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Carrera 1, Monguí, Sagamuxi, Boyacá, Colombia",Portal de la cascada,Hotel,"Just 10’ walk from center square this place offers a quiet, clean, comfortable place to stay while visiting Monguí. Also includes secure gated parking (undercover for motos) a kitchen and drinking water / coffee.
We paid COP 80,000 for a king bed with private bath, I believe shared bath is 70,000.
Highly recommend if you want value for money. ",5.724470,-72.845230,2946.3,2022-01-04 00:00:00 UTC,Potable,,,,Yes,No,Yes,Secure Parking,No,Yes - Fast,No,No,Unknown,Hot,Running Water,,,,,,,,,,,,,
"Calle 3, Chita, Valderrama, Boyacá, Colombia",Colonial Altiko’s,Hotel,"Best place in town, 70,000 for a queen bed, they let us park the motos in the little garage for the night.
It’s an ok place if splitting the trip from Monguí to El Cocuy (stunning ride, an must for anyone traveling 4x4 or on adv bikes, can be done with any vehicle but would be slow)
Owner of the hotel was super accommodating, village doesn’t have much to offer but it’s a resting place on an amazing road.",6.186131,-72.473227,2945.439474745147,2023-10-05 00:00:00 UTC,Yes,,,,Yes,No,No,Restricted Parking,Yes,Yes - Average,No,No,Unknown,Hot,Running Water,,,,,,,,,,,,,
"Chita, Valderrama, Boyacá, Colombia",Mountain pass,Tourist Attraction,"Amazing road for anyone looking for views and solitude. It’s a dirt road but passable with most vehicles, ideal for ADV bikes and 4x4. If you really want to be blown away do the whole road (Monguí to El Cocuy via socota and Chita) it’s breathtaking! Options to wild camp along the way or small hotels in the pueblos.",6.304640,-72.478850,2887.9,2025-05-11 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Carrera 9, La Asunción, Roldanillo, Norte, Valle del Cauca, 761550, Colombia","roldanillo, parqueadero",Informal Campsite,"safe parking lot. closed between 11pm and 4am. toilet very basic. 10'000 night/car.
",4.408673,-76.150778,989.3875038258234,2022-01-04 00:00:00 UTC,No,,,,Yes,Unknown,No,,No,No,Yes,No,Unknown,No,Pit Toilets,,,,,,,,,,,,,
"Barichara, Guanentá, Santander, 684041, Colombia",Mirador Salto de Mico,Wild Camping,"Parked our van on the road next to the mirador Salto de Mico. The police said nothing would happen and they were right. Safe and overall quiet spot. 

",6.628518,-73.229042,1048.420526450543,2022-12-06 00:00:00 UTC,No,,,,Yes,No,No,,No,No,No,Unknown,Unknown,No,No,,,,,,,,,,,,,
"Mirador de la Sierra, Carretera San Juan Nepomuceno, Güicán, Gutiérrez, Boyacá, 151440, Colombia",Mirador de la Sierra,Informal Campsite,"Small hostel with options to camp in either tent or van. The views are amazing and it’s very quiet at night. At 3500 meters the temps are fresh but not ridiculous, 
The owners of the place are very friendly and accommodating, we pitched our tent across the road in the paddock (less wind, better views) and were able to use their bathrooms in the restaurant.
We paid 15,000 for the 2 of us, our motos were parked in their car park… the serenity and vistas are second to none, probably one of the nicer places to wake up in!",6.440451,-72.390613,3504.6621397342533,2024-09-07 00:00:00 UTC,Natural Source,,,,Yes,No,No,,Yes,Yes - Average,Yes,Yes,Unknown,Warm,Running Water,,,,,,,,,,,,,
"Centro Comercial Gran Plaza Ipiales, Carrera 7, Ipiales, Ex-Providencia de Obando, Nariño, 524060, Colombia",Gran Plaza mall,Short-term Parking,"We spent 3 days. Just for parking from 8 am to 10 pm. Safe, toilet, water.

Hemos estado parqueados 3 días. Puedes parqueadero de 8 am a 10  pm. Seguro, baño, agua. ",0.830268,-77.649420,2908.321674346924,2022-01-06 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Carrera 3, Onzaga, Santander, Colombia",Plaza Major,Restaurant,"Decent restaurant with good food (no menu but they have several options) friendly staff,
24,000COP for the both of us… ",6.343930,-72.817164,1945.5579454321414,2022-01-07 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Ipiales, Exprovincia de Obando, Nariño, RAP Pacífico, 524061, Colombia",Colibri Campestre,Informal Campsite,"Big open grass field at a restaurant, Big rig friendly, no height restriction, water toilet, quiet, crossing from Ecuador, first street right, to Ecuador direct before the border, left street, very recommended.

20k per night in a Van.",0.815342,-77.657983,2784.6822086907923,2025-06-07 00:00:00 UTC,Non-Potable,,,,Yes,Yes - Not at Sites,No,,No,Yes - Average,Yes,Yes,Yes,Warm,Running Water,,,,,,,,,,,,,
"Esso, Panamericana, Chachagüí, Centro, Nariño, Colombia",Balneario Oasis,Informal Campsite,"On the street to the airport, fine level parking, secure, restaurant, 20k parking per night, big rig friendly",1.397947,-77.287135,1776.1724776467308,2023-06-28 00:00:00 UTC,Non-Potable,,,,Yes,Yes - At Sites,No,,No,Yes - Average,Yes,Yes,Yes,Cold,Running Water,,,,,,,,,,,,,
"Playa Blanca, Colombia",Parquadero,Informal Campsite,"big parking behind a small bar, direct behind the beach, no height restrictions, could connect to electricity, calm at night, recommend ",9.408289,-75.757375,6.149105583317578,2021-12-30 00:00:00 UTC,No,,,,Yes,Yes - Not at Sites,No,,No,No,Yes,Yes,Yes,No,Pit Toilets,,,,,,,,,,,,,
"Carrera 9, La Virginia, Risaralda, Colombia",Hotel New York,Hotel,"A Hospedaje around the corner was closed and a friendly local directed me here.
Decent hotel, decent wifi (in lobby), cold shower, fan in room. There's a big parking garage and a store room for my bike.
An ""economical"" room cost 30k for a single traveller. ",4.895259,-75.881734,952.65869140625,2024-01-20 00:00:00 UTC,No,,,,Yes,Yes - At Sites,No,Yes,No,Yes - Average,Unknown,No,Unknown,Cold,Running Water,,,,,,,,,,,,,
"La Gloria, Cesar, Colombia",around thé river,Wild Camping,"MODERATORS NOTICE:We could not confirm if this site is suitable for all types of vehicles.

Nice place quiet.i put my tent y middle of rover ..excellent nigth..",8.482748,-73.619663,105.8,2025-04-28 00:00:00 UTC,No,,,,Yes,No,No,,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,
"45, San Martín, Cesar, Colombia",In river,Wild Camping,"MODERATORS NOTICE:Not suitable for cars
ok place excellent one nigth ,tent. no car. is for bike....donne thé stars


una noche exelente lugar vecinos amigables en el río no para autos, para ciclo viajeros o mochileros.",7.931232,-73.475112,107.2,2022-01-07 00:00:00 UTC,Natural Source,,,,Yes,No,No,,Yes,No,No,Yes,Yes,Bucket,Pit Toilets,,,,,,,,,,,,,
"San José, Bajo Occidente, Caldas, Colombia",Mirador Serranía los Santos,Established Campground,"A mirador with space for a handful of tents and a parking place for vehicles. There's no restaurant but they have snacks and cold drinks. 
The people are very friendly and the views are spectacular. Sitting atop a ridge there's a view to two valleys. Awesome.
There's a rough, steep road up to the parking places and from there a steepish walk to the viewing platform and tent camping area. Bloody hard work on a bike but worth it. 
There's WiFi at least while it's open) and bathrooms (with paper) and cold showers. Bring food and it's a great place to stay. The tent camping spot isn't exactly flat but the views compensate.
There's no security but local houses are close, people very friendly and I felt totally safe as a solo camper.
Cost for cyclist plus tent 10k.
Also listed on Google Maps",5.069984,-75.800158,1765.136962890625,2024-07-10 17:40:34 UTC,Non-Potable,,,,Yes,Yes - Not at Sites,No,,No,Yes - Slow,Yes,Yes,Unknown,Cold,Running Water,Unknown,,,,,,,,,,,,
"Alvarado, Centro, Tolima, Colombia",Alvarado,Wild Camping,"Nice place, close to river .. safe site, You can find clean water, Wood for fire and Nice people,  friendly.",4.584483,-74.974518,442.47998046875,2023-05-18 00:00:00 UTC,Potable,,,,Yes,Yes - At Sites,Yes,,No,No,Unknown,Yes,Yes,Warm,Running Water,,,,,,,,,,,,,
"Supermercado Proveedor, Carrera 4, Anserma, Bajo Occidente, Caldas, Colombia","Hotel Mirador Santana, Anserma",Hotel,Modern hotel located in a small shopping mall. 30k for a single traveller including breakfast. Good Wifi. Warm shower. Bike stored in breakfast room - secure. Two flights of easy stairs,5.230690,-75.787270,0.0,2022-01-09 00:00:00 UTC,Unknown,,,,Yes,Yes - At Sites,No,Unknown,No,Yes - Fast,Unknown,No,Unknown,Warm,Running Water,,,,,,,,,,,,,
"Editorial Vanegas, Carrera 5, Palenque, Salamina, Norte, Caldas, 172001, Colombia",La Estancia Hotel Boutique,Hotel,"Salamina, Colombia

We highly recommend La Estancia Hotel Botique for your stay in the area. We loved it so much we circled back to stay again!

Jamie and Patricia, the owners are native Colombians who lived in the United States for a long time.  They are bilingual.  A huge help for the gringos with very limited Spanish. Loving care was given to this 130-year-old house.  Restoration done keeping the original charm. 

They have eight rooms available, secure parking on site for motorcycles.  Breakfast is included. 

We were covered in mud the second time we came. Jamie arranged to have our bikes washed, the sole of my boot reglued, and everyone’s boots polished!

Each room has a private bathroom and on site laundry service is available. A dry sauna and a rooftop patio with hammocks await. Adult beverages await you at their private bar. 1.5 blocks from the plaza

Good wifi, good cell service",5.408200,-75.489610,1.0,2024-08-12 00:00:00 UTC,Potable,,,,Yes,Yes - At Sites,No,Yes,Yes,Yes - Fast,No,No,Yes,Hot,Running Water,,,,,,,,,,,,,
"Six Avenue Hostal, #10-59, Carrera 6, Ipiales, Ex-Providencia de Obando, Nariño, 524060, Colombia",Xantico Hostal,Hostel,"Clean, modern hostel with comfortable beds in the town center of Ipiales. Common kitchen and washing machines. Dorm beds are big and have lots of privacy. Hot showers. Dorm bed is $35,000 COL. 

Security guard at entrance helped push my motorcycle through the long entry hallway into the center common area for safe parking! Really nice people and a great find for the night before crossing into Ecuador.",0.824040,-77.636660,2931.89990234375,2025-03-10 00:00:00 UTC,Potable,,,,Yes,Yes,Yes,Unknown,Unknown,Yes - Fast,No,No,Unknown,Hot,Running Water,,,,,,,,,,,,,
"Calle 5, Onzaga, Santander, Colombia",Cocina Traditional,Restaurant,"The best lunch we’ve had in ages. And this place is out in the boonies! This is the place to stop if your doing this dirt road. Served a hot soup on arrival, followed by a generous lunch portion, and refilling fresh juice.",6.344090,-72.817060,1674.3,2022-01-07 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Estadio Municipal José María Hernández, Calle 14, Leticia, Amazonas, 910001, Colombia",Hotel Madre Selva,Hotel,"Very cool, airy hotel with a dedicated motorcycle parking. I paid about $20 for a none AC room but now I would recommend do get AC. Walkable to the town center. Super safe everywhere.",-4.207234,-69.940893,101.01556396484375,2022-01-13 00:00:00 UTC,Yes,,,,Yes,Yes - At Sites,No,Secure Parking,No,Yes - Average,No,No,Unknown,Unknown,Running Water,,,,,,,,,,,,,
"Via Ferrera, Lebrija, Rionegro, Metropolitana, Santander, Colombia",Via Ferrera,Tourist Attraction,"If you like adventure, you have the right vehicle for it (4x4, small van or ADV bike) you owe it to yourself to take a trip down this ex-railway track… for those looking for YouTube content, this might get you some views!
I am not going to add any photos to this post, you just got to come and see!!! If you are scared of heights or not comfortable with sketchy roads, maybe best you pass! NO BIG RIGS  or anything wider that a land cruiser! Height restriction to be considered but anything under 3meters should be fine… enjoy!",7.237540,-73.237940,668.6,2024-06-23 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Parqueadero Exito, Carrera 11, El Modelo, Comuna 1, Popayán, Centro, Cauca, 190002, Colombia",ATM caja Davivienda in Sm Exito,Financial,"free ATM 2.000.000 cop possible may be more.
in the supermarket Exito. left side from banjos. NO FEE! red sign caja.

coordinates are from outside supermarket because our motorhome didn't fit in the parking area 

But don't accept the exchange rate. say no and you get a better one.",2.452531,-76.607005,1758.18798828125,2024-08-04 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Grand Hostel, Carrera 46, Astorga, Comuna 14 - El Poblado, Perímetro Urbano Medellín, Medellín, Valle de Aburrá, Antioquia, 050021, Colombia",574 Hotel,Hotel,a smal nice hotel in a very good neighbourhood. rooms are small but very clean. The price-performance ratio is right. Good breakfast. and 5 minutes walking from the metro station Poblado.,6.208394,-75.574776,1529.2091064453125,2021-12-11 00:00:00 UTC,Non-Potable,,,,Yes,Yes - At Sites,No,No,No,Yes - Fast,No,No,No,Hot,Running Water,,,,,,,,,,,,,
"Pizzota's, Calle 32, Guatapé, Oriente, Antioquia, 053854, Colombia",Donde SAM,Restaurant,"Restaurant where you can get typical Mexican, Indian, Italian food.
We tried twice the Indian food and it is the  best outside of India. The Chef Sam is from Agra.
You  can't compare it with the normal food around in the other restaurants. Taste is much higher. ",6.234914,-75.159322,1916.3617508388954,2022-05-02 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Vía Ubate - Capellania, Tarabita, Capellanía, Fúquene, Ubaté, Cundinamarca, Colombia",trinkingwater north of urbate,Water,we slept at the terpel station with new toilets. in the south close to the fence and direct at the parqueadero there is a tape with water from the mountains. Best quality. at the other side you can buy cheas. ,5.339330,-73.794182,2573.309814453125,2023-07-08 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Las Golondrinas, Calle 12, Villa de Leiva, Villa de Leyva, Ricaurte, Boyacá, 154001, Colombia",big free Parking lot at the mercado alternativo,Wild Camping,it seems that from time to time there will be a mercado there. but at the edge of the town .,5.630463,-73.520885,2179.524658203125,2023-05-28 00:00:00 UTC,No,,,,Yes,No,No,,Yes,No,Yes,No,Yes,No,No,,,,,,,,,,,,,
"La Laguna Azul, Cruce por Centro Comercial Getsemaní, Getsemaní, Cartagena, Dique, Bolívar, 472000, Colombia",La casa de socorro,Restaurant,one of the better Restaurants in Cartagena with moderat prices. cazuela with lobster or shrimps are delicious. price about 45000 cop. At 12:00 a.m. you will get a table easy without reservation. don't come after 00:30 p.m. then you have to wait. ,10.420288,-75.547524,8.9488525390625,2022-01-15 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Parcerito's hostel, #10-16, Carrera 5, Jericó, Cabecera Municipal Jericó, Jericó, Suroeste, Antioquia, 056010, Colombia",Parcerito's Hostel,Hostel,"A beautiful hostel in the heart of the zona cafeteria, with prices ranging from COP 30 000 for a tent to 115 000 on weekdays for a large private with ensuite bathroom. Situated only 5 minutes by foot from the main town square of Jericó with a chill environment, a lovely garden, free breakfast, super fast wi-fi and shared spaces. Kitchen on site and outdoor lounge area. Hot water (electric heater).  Can be seen on Booking, Hostelworld and Google Maps.
Secure parking for a few motos,  bikes, or one SUV.
Parcerito's Hostel 
+57 3194554129
",5.788590,-75.788550,1978.8818359375,2025-05-21 00:00:00 UTC,Potable,,,,Yes,Yes - At Sites,Yes,Secure Parking,No,Yes - Fast,No,Yes,Yes,Hot,Running Water,,,,,,,,,,,,,
"Vía Curos - Málaga, Santa Bárbara, Metropolitana, Santander, Colombia",End of pavement ,Warning,"This road connection Malaga to Curos in only paved (more or less) for the 1st 20 or so kms on either end… it’s also paved between Guaca and San Andrew and then in a few random areas with paved sections ranging a few hounded meters to maybe 1.5 kms. The rest, yeah, nah… not so much! Mostly dust / gravel / rock with some less than comfortable sections. Lots of narrow sections too and of course the odd truck / bus (yes full size ones!) taking up the whole road with complete disregard to other road users. No 4x4 required but decent suspension helps! Allow at least 4 hours to make the trip. The views are amazing though!!!",6.945650,-72.971790,2207.4,2025-01-19 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Catedral de la Inmaculada Concepción, Calle 13, Málaga, García Rovira, Santander, 682018, Colombia",La Tapa,Restaurant,"Probably one of the better place we have eaten at in the “off the beaten path” pueblos of Colombia! Nice restaurant, quite upmarket for a non-touristy place, our burgers were delicious (sooooo many options to chose from!) reasonable prices from 15k to 20k.
Glad we found this place!",6.700241,-72.732895,2212.7998897423968,2022-01-16 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"San Carlos-Vallejuelo-Palmichal, San Carlos, Oriente, Antioquia, Colombia",Hotel Casa Campestre La Cascada,Hotel,"This beautiful old hotel can host up to 35 people. Delightful balconies, gardens and seating areas. 

The water falls with swimming holes below the falls are right out side their gates. 

There is a restaurant on site. We had the best fish we have had on this trip tonight. Francisco and his sister Gabriella run the hotel and speak good English. 

Great value for what we received. 

Huge property behind a locked gare. We paid 220,000 pesos for one bed two people. That price included two meals for two people. You can choose breakfast and dinner or breakfast and lunch. 

I contacted them through what’sapp. +57 311 6172522",6.192925,-75.004456,1011.0878891646862,2022-01-16 00:00:00 UTC,Potable,,,,Yes,Unknown,No,Yes,Yes,Yes - Average,Unknown,No,Yes,Cold,Running Water,,,,,,,,,,,,,
"Catedral de la Inmaculada Concepción, Calle 13, Málaga, García Rovira, Santander, 682018, Colombia",Mandala,Restaurant,"Nice little coffee / lunch spot. Didn’t have much in the ways of breakfast but lots of good coffee options, juices etc…",6.700405,-72.733219,2210.4859728766605,2024-01-29 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"REGISTRADURIA, Carrera 6B, BARRIO VILLA JARDIN, Málaga, García Rovira, Santander, 682018, Colombia",Hostal Las Flores,Hostel,"Convenient, cheap hotel close to the centre, 60,000COP p night for two of us. Large rooms. Set up more like a hotel, private bathrooms etc but there is a small kitchen you can use and full sized fridge. Large gated parking next door, no height restrictions. Abit loud at night as your right next to a main road.",6.695793,-72.731696,2203.199062347412,2023-07-06 00:00:00 UTC,Non-Potable,,,,Yes,Yes - At Sites,Yes,Yes,No,Yes - Average,Yes,No,Yes,Warm,Running Water,,,,,,,,,,,,,
"Cerrito, García Rovira, Santander, Colombia",Alternative road,Tourist Attraction,"We were suggested this alternate (shorter) route as an option instead of the 55.
Standard dirt road not worse than others ;-). Pretty narrow but, hardly anyone on it and the views are AMAZING! Glad we took it, we had a lot of fun. If you are with a 4x4 or decent truck and especially with an ADV moto, you should definitely consider this road.",6.926200,-72.699180,2287.5,2023-04-14 00:00:00 UTC,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"La Pacha hostel, 64, Barichara, Guanentá, Santander, 684039, Colombia",La Pacha Eco-Glamping,Established Campground,"An ecological and affordable glamping hostel with yurts, hobbit house and geodesic domes plus campsite with plenty of parking space and electricity. Run by lovely Anglo Colombian family on their 4 acre organic farm. It has panoramic views, a natural swimming pool, Indian and vegetarian restaurant (amazing food) , campfires, a movie bus (!) and lots of spaces to chill out. 2 hour walk to Barichara or San Gil, 20 mins by car. Heaven!",6.600877,-73.168870,1600.1,2025-03-24 00:00:00 UTC,Potable,,,,Yes,Yes - At Sites,Yes,,Yes,Yes - Average,Yes,Yes,Yes,Cold,Pit Toilets,No,,,,,,,,,,,,
